Name;NSta;NGroup;NRawSlotNum;TCPSegmentSize;IPCameraDataRate;DataMode;EDCAQueueLength;TCPConnected;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate8Nsta5DataModeMCS2_4;5;4;1;3216;8;MCS2_4;0;1;222.6;222.6;725.6
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate8Nsta5DataModeMCS2_8;5;4;1;3216;8;MCS2_8;0;1;230.4;230.4;733.4
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate96Nsta10DataModeMCS2_4;10;4;1;3216;96;MCS2_4;0;1;3416;2210.9;4609.9
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate96Nsta10DataModeMCS2_8;10;4;1;3216;96;MCS2_8;0;1;3687.4;2848.6;6270
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate96Nsta15DataModeMCS2_8;15;4;1;3216;96;MCS2_8;0;1;3918.6;2603.06666666667;4753.2
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate96Nsta5DataModeMCS2_4;5;4;1;3216;96;MCS2_4;0;1;2746.8;2466.4;7193.6
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate96Nsta5DataModeMCS2_8;5;4;1;3216;96;MCS2_8;0;1;2443.2;2406.8;7701.2
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate128Nsta10DataModeMCS2_4;10;4;1;536;128;MCS2_4;0;1;18722.3;2905.3;7084.5
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate128Nsta10DataModeMCS2_8;10;4;1;536;128;MCS2_8;0;1;18734.4;3558.6;8570
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate128Nsta15DataModeMCS2_8;15;4;1;536;128;MCS2_8;0;1;19999.2;3487.46666666667;6695.6
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate128Nsta5DataModeMCS2_4;5;4;1;536;128;MCS2_4;0;1;16396.4;3588.4;12253.4
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate128Nsta5DataModeMCS2_8;5;4;1;536;128;MCS2_8;0;1;15645;4180.4;14639.4
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate16Nsta10DataModeMCS2_4;10;4;1;536;16;MCS2_4;0;1;2156.2;2125.6;5859.3
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate16Nsta10DataModeMCS2_8;10;4;1;536;16;MCS2_8;0;1;2437.1;2412.5;6125.6
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate16Nsta15DataModeMCS2_4;15;4;1;536;16;MCS2_4;0;1;3023;2810.6;5672.13333333333
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate16Nsta15DataModeMCS2_8;15;4;1;536;16;MCS2_8;0;1;3436.6;3328.73333333333;6540.13333333333
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate16Nsta5DataModeMCS2_4;5;4;1;536;16;MCS2_4;0;1;2101.4;2088.6;5785.8
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate16Nsta5DataModeMCS2_8;5;4;1;536;16;MCS2_8;0;1;2148.8;2131;5820.6
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate2Nsta10DataModeMCS2_4;10;4;1;536;2;MCS2_4;0;1;315.6;315.6;902.6
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate2Nsta10DataModeMCS2_8;10;4;1;536;2;MCS2_8;0;1;356.8;356.8;943.9
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate2Nsta15DataModeMCS2_4;15;4;1;536;2;MCS2_4;0;1;358;358;945
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate2Nsta15DataModeMCS2_8;15;4;1;536;2;MCS2_8;0;1;370.533333333333;370.533333333333;957.533333333333
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate2Nsta5DataModeMCS2_4;5;4;1;536;2;MCS2_4;0;1;332.6;332.6;919.6
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate32Nsta10DataModeMCS2_4;10;4;1;536;32;MCS2_4;0;1;4397.1;2913.4;7110.7
